Time [s], Analyzer Name, Decoded Protocol Result
3.293900520000000,SPI,MOSI: 0x1A40000;  MISO: 0x3FEFFFF
3.297909580000000,SPI,MOSI: 0x1A50000;  MISO: 0x3FEFFFF
3.301921620000000,SPI,MOSI: 0x1A60000;  MISO: 0x3FEFFFF
3.305934680000000,SPI,MOSI: 0x1A70000;  MISO: 0x3FEFFFF
3.313959800000000,SPI,MOSI: 0x1A80000;  MISO: 0x3FEFFFF
3.317969840000000,SPI,MOSI: 0x1A90000;  MISO: 0x3FEFFFF
3.321981900000000,SPI,MOSI: 0x1AA0000;  MISO: 0x3FEFFFF
3.325993960000000,SPI,MOSI: 0x1AB0000;  MISO: 0x3FEFFFF
3.334020060000000,SPI,MOSI: 0x1AC0000;  MISO: 0x3FEFFFF
3.338029120000000,SPI,MOSI: 0x1AD0000;  MISO: 0x3FEFFFF
3.342039180000000,SPI,MOSI: 0x1AE0000;  MISO: 0x3FEFFFF
3.346055220000000,SPI,MOSI: 0x1AF0000;  MISO: 0x3FEFFFF
3.354081340000000,SPI,MOSI: 0x1B00000;  MISO: 0x3FEFFFF
3.358090380000000,SPI,MOSI: 0x1B10000;  MISO: 0x3FEFFFF
3.362101440000000,SPI,MOSI: 0x1B20000;  MISO: 0x3FEFFFF
3.366114500000000,SPI,MOSI: 0x1B30000;  MISO: 0x3FEFFFF
3.374141600000000,SPI,MOSI: 0x1B40000;  MISO: 0x3FEFFFF
3.378150660000000,SPI,MOSI: 0x1B50000;  MISO: 0x3FEFFFF
3.382161720000000,SPI,MOSI: 0x1B60000;  MISO: 0x3FEFFFF
3.386175760000000,SPI,MOSI: 0x1B70000;  MISO: 0x3FEFFFF
3.394201880000000,SPI,MOSI: 0x1B80000;  MISO: 0x3FEFFFF
3.398209920000000,SPI,MOSI: 0x1B90000;  MISO: 0x3FEFFFF
3.402222980000000,SPI,MOSI: 0x1BA0000;  MISO: 0x3FEFFFF
3.406235040000000,SPI,MOSI: 0x1BB0000;  MISO: 0x3FEFFFF
3.414261140000000,SPI,MOSI: 0x1BC0000;  MISO: 0x3FEE2FF
3.418271200000000,SPI,MOSI: 0x1BD0000;  MISO: 0x3FEFFFF
3.422280260000000,SPI,MOSI: 0x1BE0000;  MISO: 0x3FEFFFF
3.426293300000000,SPI,MOSI: 0x1BF0000;  MISO: 0x3FEFFFF
3.434321420000000,SPI,MOSI: 0x1800000;  MISO: 0x3FEFFFF
3.438330480000000,SPI,MOSI: 0x1810000;  MISO: 0x3FEFFFF
3.442343520000000,SPI,MOSI: 0x1820000;  MISO: 0x3FEFFFF
